$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;359,8347;265,4871;349,0422;319,6788;315,3153;265,4871;296,5128;313,745;349,0422
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;28,1515;26,4497;27,8641;27,2369;27,4248;26,4497;27,0596;27,6707;27,8641
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
DOEL;KALLO;Gas;B;E001;380;52,2;261;141,6389;106,6705;139,2651;121,4354;125,2273;106,6705;118,4753;125,5049;139,2651
DOEL;EXXON;Gas;B;E001;380;26;130;75,0412;62,519;74,2967;67,8987;69,4792;62,519;66,9182;69,7696;74,2967
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;34,0582;31,4109;33,7226;32,6066;32,9094;31,4109;32,3458;33,171;33,7226
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;49,7716;43,9388;49,3056;46,5046;47,2094;43,9388;45,9902;47,496;49,3056
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;25,1855;23,8984;24,9233;24,5066;24,6447;23,8984;24,3675;24,8807;24,9233
DOEL;LANXESS;Gas;B;E001;380;8,6;43;25,1855;23,8984;24,9233;24,5066;24,6447;23,8984;24,3675;24,8807;24,9233
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;88,0179;71,5205;87,0713;78,5442;80,6284;71,5205;77,2877;80,9093;87,0713
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;253,8058;180,8799;245,8076;215,472;217,247;180,8799;204,3692;217,815;245,8076
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;225,371;161,1386;218,9309;190,3845;193,4014;161,1386;181,9357;193,9595;218,9309
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;23,4031;22,3443;23,1566;22,8542;22,9651;22,3443;22,7365;23,1941;23,1566
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;AALTER;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
GOUY;BAUDOUR;Gas;B;E001;380;70;350;181,3626;132,1144;177,2776;153,4343;157,4629;132,1144;148,3374;157,8571;177,2776
GOUY;AMERCOEUR;Gas;B;E001;380;84;420;209,946;150,7949;204,362;177,1994;180,7131;150,7949;170,0379;181,2228;204,362
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
IZEGEM;IZEGEM;Gas;B;E001;380;4,4;22;12,7176;12,6514;12,5842;12,7318;12,7265;12,6514;12,7111;12,885;12,5842
