$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;315,3153;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;31,0248;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3315,7432;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;220,847;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;227,1665;554
GOUY;BAUDOUR;Gas;B;E001;380;70;338,1761;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;66,1017;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;44,837;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;580,6447;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,7074;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;205,3579;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,9208;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;321,4801;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;721,4286;1569
SERAING;SERAING;Gas;B;E001;220;47,6;306,5232;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;51,8147;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;169,2762;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;172,5795;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;499,0009;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;142,5732;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;293,5862;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;76,6486;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;349,4094;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;218,9614;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;513,7469;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;304,1637;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;486,1839;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;173,6528;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;643,9924;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;95,9736;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;243,5453;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;349,4094;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;36,5204;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;286,5218;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;17,4;87
BASF;string;Gas;D;E001;string;32;44,2735;160
BECHT;string;Gas;D;E001;string;11;21,7107;55
BERGM;string;Steinkohle;D;E001;string;103,5;345;345
BERGS;string;Gas;D;E001;string;2,44;7,0614;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
BEXBA;string;Steinkohle;D;E001;string;216,3;721;721
BIBLI;string;KKW;D;E001;string;802,2;2386;2386
BISCH;string;Gas;D;E001;string;67;78,6083;335
BIXTE;string;Pumpspeicher;D;E003;string;0;8;8
BLOCK;string;Steinkohle;D;E001;string;17,6;208,382;475
BOCHU;string;Steinkohle;D;E001;string;39,9;413;413
BOXBE;string;Braunkohle;D;E001;string;0;6,488e-09;1787
BRAUW;string;Braunkohle;D;E001;string;0;8,6494e-09;842
BROKD;string;KKW;D;E001;string;987;1410;1410
BRUNS;string;Öl;D;E001;string;12,7;821,8;1027
CHARL;string;Gas;D;E001;string;14;200,2834;643
DAXLA;string;Gas;D;E001;string;70,6;587,1843;858
DOLLE;string;Steinkohle;D;E001;string;10,1;280,2;362
ELMEN;string;Steinkohle;D;E001;string;44,7;473;473
EMDEN;string;Gas;D;E001;string;10;20,34;50
ERFUR;string;Pumpspeicher;D;E003;string;0;756;756
ESCH;TWINERG;GuD;D;E001;220;82,934;94,4677;415
ETZEN;string;Pumpspeicher;D;E003;string;0;254;254
FARGE;string;Steinkohle;D;E001;string;105;350;350
FLEBOUR;ESCH-SUR-SURE;Wasserspeicher;D;E003;220;0;13;13
FRANF;string;Steinkohle;D;E001;string;11,2;141,5712;287
GAREN;string;Gas;D;E001;string;83,4;94,9327;417
GERST;string;Steinkohle;D;E001;string;11;1279,3567;2307
GOHRP;string;Braunkohle;D;E001;string;0;1,5136e-08;1231
GRAFE;string;KKW;D;E001;string;892,5;1275;1275
GROHN;string;KKW;D;E001;string;952;1360;1360
GROSG;string;Öl;D;E001;string;17;69,4;347
GROSK;string;Steinkohle;D;E001;string;74,7;1187,9387;1674
GUNDE;string;Steinkohle;D;E001;string;33,6;2817,034;3292
GURTW;string;Pumpspeicher;D;E003;string;0;1820;1820
HALFE;string;Braunkohle;D;E001;string;0;2,162e-09;85
HAMBO;string;Steinkohle;D;E001;string;22,5;194;194
HANEK;string;Gas;D;E001;string;11;1537,5854;2149
HANNO;string;Gas;D;E001;string;20,4;90,5939;332
HBORN;string;Gas;D;E001;string;18;75,37;255
HEILB;string;Steinkohle;D;E001;string;25,5;390;390
HELMS;string;Braunkohle;D;E001;string;0;2,1626e-09;352
HERNE;string;Steinkohle;D;E001;string;3,4;118,4;132
HEYDE;string;Steinkohle;D;E001;string;2,4;981,7803;1197
HOHEN;string;Öl;D;E001;string;15,48;15,48;78
HUNTO;string;Gas;D;E001;string;64,2;75,8309;321
INGOL;string;Öl;D;E001;string;77,2;154,4;772
IRSCH;string;Gas;D;E001;string;4,6;103,7337;461
ISAR;string;KKW;D;E001;string;614,6;2288;2288
ITZEH;string;Öl;D;E001;string;17,6;17,6;88
JAENS;string;Braunkohle;D;E001;string;0;1,2976e-08;2790
KIEL;string;Steinkohle;D;E001;string;96,9;323;323
KLOST;string;Pumpspeicher;D;E003;string;0;160;160
KNAPS;string;Braunkohle;D;E001;string;0;171,6277;852
KOEPC;string;Pumpspeicher;D;E003;string;0;631;631
KRIEG;string;Gas;D;E001;string;10,6;208,8471;876
KRUCK;string;Gas;D;E001;string;2,4;555,8892;714
KRUEM;string;KKW;D;E001;string;0;1340;1340
KUEHM;string;Pumpspeicher;D;E003;string;0;720;720
KUPFE;string;Gas;D;E001;string;11,4;22,2438;57
KUSEN;string;Steinkohle;D;E001;string;103,5;690;690
LANDE;string;Gas;D;E001;string;100;111,5145;500
LAUCH;string;Braunkohle;D;E001;string;0;24;1178
LEUPO;string;Wasserspeicher;D;E003;string;0;46;46
LIPPB;string;Steinkohle;D;E001;string;0;596;596
LUDER;string;Pumpspeicher;D;E003;string;0;320;320
MALCH;string;Gas;D;E001;string;7,5;66,7874;152
MARIE;string;Öl;D;E001;string;4,64;18,56;96
MARKB;string;Pumpspeicher;D;E003;string;0;2092;2092
MEHRU;string;Steinkohle;D;E001;string;207;690;690
MENGE;string;Steinkohle;D;E001;string;215,1;717;717
METZI;string;Pumpspeicher;D;E003;string;0;180;180
MITTE;string;Gas;D;E001;string;10,2;209,7222;635
MOELL;string;Steinkohle;D;E001;string;95,4;640;640
MUEND;string;Gas;D;E001;string;60,6;72,2656;303
NDVIE;string;Steinkohle;D;E001;string;31;321,2998;433
NECKA;string;KKW;D;E001;string;27;2378;2486
NEURO;string;Steinkohle;D;E001;string;60,75;1063;1063
NIEDS;string;Pumpspeicher;D;E003;string;0;2192;2192
NWIES;string;Gas;D;E001;string;0;22,3598;115
OBERN;string;Wasserspeicher;D;E003;string;0;72;72
OBERZ;string;Gas;D;E001;string;0;132,2882;2600
OPLAD;string;Braunkohle;D;E001;string;0;8,5029;1081
OSTER;string;Gas;D;E001;string;0;124,5317;581
PHILI;string;KKW;D;E001;string;623;2292;2292
PLEIN;string;Öl;D;E001;string;138,8;138,8;694
POEPI;string;Steinkohle;D;E001;string;103,5;345;345
POLSU;string;Steinkohle;D;E001;string;103,5;1021;1021
PULGA;string;Braunkohle;D;E001;string;0;4,3254e-09;1750
RAITE;string;Gas;D;E001;string;15;53,4475;150
REMPT;string;Pumpspeicher;D;E003;string;0;160;160
REUTE;string;Steinkohle;D;E001;string;6;282;282
RHEIN;string;Gas;D;E001;string;8;209,0871;407
ROMME;string;Braunkohle;D;E001;string;0;2,595e-08;5253
ROOST;REDANGE;Gas;D;E001;220;7,534;16,7259;38
ROSTO;string;Steinkohle;D;E001;string;152,4;508;508
ROXEL;string;Öl;D;E001;string;4,66;13,98;72
SCHOL;string;Steinkohle;D;E001;string;21;70;70
SIEGB;string;Braunkohle;D;E001;string;0;2,1622e-09;118
STREU;string;Pumpspeicher;D;E003;string;0;40;40
SWPUM;string;Braunkohle;D;E001;string;0;4,3254e-09;1536
THYRO;string;Gas;D;E001;string;7,3;132,3071;300
TIENG;string;Gas;D;E001;string;0;957,4063;980
UCHTE;string;Gas;D;E001;string;25;693,3948;781
UENTR;string;Gas;D;E001;string;167,6;179,2518;838
UNTER;string;KKW;D;E001;string;941,5;1345;1345
URBER;string;Pumpspeicher;D;E003;string;0;440;440
VELTH;string;Steinkohle;D;E001;string;13;498,9084;796
VIANDEN;VIANDEN;Pumpspeicher;D;E003;220;-850;1096;1096
WALDE;string;Wasserspeicher;D;E003;string;0;1266;1266
WALSU;string;Steinkohle;D;E001;string;38,7;628;628
WENDL;string;Gas;D;E001;string;10;396,4641;553
WESTE;string;Steinkohle;D;E001;string;238,2;794;794
WILHE;string;Steinkohle;D;E001;string;11,2;768,2;813
ZENSE;string;Steinkohle;D;E001;string;208,5;1390;1390
ZUKUN;string;Laufwasser;D;E001;string;0;28;28
AMAGER;AMAGERVAERKET;Steinkohle;DK_O;E001;150;122,445;409;409
