$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;366,9355;272,6944;342,4748;320,3992;315,0469;272,6944;295,4515;317,5137;342,4748
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;28,2896;26,3791;27,9291;27,061;27,2133;26,3791;26,893;27,3843;27,9291
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
DOEL;KALLO;Gas;B;E001;380;52,2;261;142,0843;107,3229;140,9445;121,5125;124,7913;107,3229;118,2358;124,8389;140,9445
DOEL;EXXON;Gas;B;E001;380;26;130;75,2717;62,5272;75,0129;67,5786;69,075;62,5272;66,638;69,1764;75,0129
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;34,2139;31,3223;33,8553;32,3871;32,6586;31,3223;32,1467;32,8371;33,8553
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;49,9575;43,8422;49,6476;46,1975;46,8732;43,8422;45,7301;47,0453;49,6476
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;25,3113;23,8387;24,9578;24,3532;24,4536;23,8387;24,2183;24,6182;24,9578
DOEL;LANXESS;Gas;B;E001;380;8,6;43;25,3113;23,8387;24,9578;24,3532;24,4536;23,8387;24,2183;24,6182;24,9578
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;88,2744;71,6223;87,9833;78,2694;80,2117;71,6223;77,0185;80,265;87,9833
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;256,1192;183,8909;247,8464;216,2214;216,5183;183,8909;203,6864;218,4755;247,8464
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;226,9165;163,3214;221,2425;191,0074;192,7659;163,3214;181,4135;194,0928;221,2425
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;23,5198;22,2916;23,1742;22,714;22,7861;22,2916;22,5978;22,9458;23,1742
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;AALTER;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
GOUY;BAUDOUR;Gas;B;E001;380;70;350;182,1518;133,349;179,4095;153,7947;156,9652;133,349;148,0149;157,4307;179,4095
GOUY;AMERCOEUR;Gas;B;E001;380;84;420;211,1717;152,6008;206,6711;177,7383;180,1313;152,6008;169,5954;181,1244;206,6711
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
