$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;537,1932;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;34,0257;66
COO;COO;Pumpspeicher;B;E003;380;-1035;0;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3411,4508;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;342,7861;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;327,4785;554
GOUY;BAUDOUR;Gas;B;E001;380;70;491,1621;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;74,1447;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;51,2405;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;583,0654;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;24,7606;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;294,1952;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;22,2369;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;260,9922;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;998,4853;1569
SERAING;SERAING;Gas;B;E001;220;47,6;439,6516;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;61,1793;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;245,6222;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;251,7749;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;584,3836;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;166,2337;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;347,9831;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;84,8381;134
